0,CombatZoneResize,309,226,339,391,TLResume,,
0,HeartTeleport,324,370,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,15,346,61,0,120,,
0.4,BoneVRepeat,133,356,40,0,120,41,15
1.2,Platform,-61,346,61,0,150,,
1.7,Platform,-61,346,61,0,180,,
1,BoneV,133,257,45,0,210,,
0,BoneV,119,257,45,0,210,,
0,BoneV,105,257,45,0,210,,
0.5,Platform,-61,348,61,0,180,,
2.3,BoneV,133,257,95,0,270,,
1.2,BoneStab,1,35,0.1,0.4,,,,
0,Platform,320,336,25,0,0,,
0,BoneV,128,286,100,0,640,2,
0,BoneV,128,286,100,0,610,2,
0,BoneV,128,286,100,0,600,2,
0,BoneV,503,286,100,2,590,2,
0,BoneV,503,286,100,2,595,2,
0,BoneV,503,286,100,2,594,2,
0.3,BoneV,503,286,100,2,340,1,
0,BoneV,128,286,100,0,340,1,
1,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.13333,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResize,239,226,404,391,,,,
0.2,HeartMode,0,,,,
0,Sound,Ding,,,,,,,
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,1
0.05,BoneH,330,650,200,3,300,1
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,130,-10,200,1,300,1
0.05,BoneH,330,650,200,3,300,1
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,1
0.05,BoneH,130,-10,200,1,300,1
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,2
0.05,BoneH,130,-10,200,1,300,2
0.05,BoneH,330,650,200,3,300,1
0.05,BoneH,130,-10,200,1,300,1
2.1,SET,gt,0,,,,,,,
0,SET,gin,2.63,,,,,,,
0,MUL,Ang,$gt,-6,,,,,,
0,ADD,Ang,$Ang,90,,,,,,
0,COS,X,$Ang,,,,,,,
0,SIN,Y,$Ang,,,,,,,
0,MUL,EndX,$X,150,,,,,,
0,MUL,EndY,$Y,150,,,,,,
0,MUL,X,$EndX,3,,,,,,
0,MUL,Y,$EndY,3,,,,,,
0,ADD,X,$X,320,,,,,,
0,ADD,Y,$Y,306,,,,,,
0,ADD,EndX,$EndX,520,,,,,,
0,ADD,EndY,$EndY,306,,,,,,
0,ADD,EndX2,$EndX2,110,,,,,,
0,ADD,EndY2,$EndY2,306,,,,,,
0,ADD,Ang,$Ang,-180,,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,1.3,1,
0,GasterBlaster,0,$X,$Y,$EndX2,$EndY2,$Ang,1.3,1,
0,ADD,gt,$gt,$gin,,,,,,
0,JMPNL,96,$gin,4,,,,,,
0,ADD,gin,$gin,0.015,,,,,,
0.001,JMPL,76,$gt,36,,,,,,
2.1,SET,gt,0,,,,,,,
0,SET,gin,2.63,,,,,,,
0,MUL,Ang,$gt,-6,,,,,,
0,ADD,Ang,$Ang,90,,,,,,
0,COS,X,$Ang,,,,,,,
0,SIN,Y,$Ang,,,,,,,
0,MUL,EndX,$X,150,,,,,,
0,MUL,EndY,$Y,150,,,,,,
0,MUL,X,$EndX,3,,,,,,
0,MUL,Y,$EndY,3,,,,,,
0,ADD,X,$X,320,,,,,,
0,ADD,Y,$Y,306,,,,,,
0,ADD,EndX,$EndX,120,,,,,,
0,ADD,EndY,$EndY,306,,,,,,
0,ADD,Ang,$Ang,-180,,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,1.3,1,
0,ADD,gt,$gt,$gin,,,,,,
0,JMPNL,116,$gin,4,,,,,,
0,ADD,gin,$gin,0.015,,,,,,
0.001,JMPL,99,$gt,36,,,,,,
2.1,SET,gt,0,,,,,,,
0,SET,gin,2.63,,,,,,,
0,MUL,Ang,$gt,-6,,,,,,
0,ADD,Ang,$Ang,90,,,,,,
0,COS,X,$Ang,,,,,,,
0,SIN,Y,$Ang,,,,,,,
0,MUL,EndX,$X,150,,,,,,
0,MUL,EndY,$Y,150,,,,,,
0,MUL,X,$EndX,3,,,,,,
0,MUL,Y,$EndY,3,,,,,,
0,ADD,X,$X,320,,,,,,
0,ADD,Y,$Y,306,,,,,,
0,ADD,EndX,$EndX,420,,,,,,
0,ADD,EndY,$EndY,46,,,,,,
0,ADD,Ang,$Ang,-180,,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,1.3,1,
0,ADD,gt,$gt,$gin,,,,,,
0,JMPNL,136,$gin,4,,,,,,
0,ADD,gin,$gin,0.015,,,,,,
0.001,JMPL,119,$gt,36,,,,,,
2.5,SET,Loop,15,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
